图书排名,图书名称,图书作者,图书出版时间,图书出版社,图书价格
108,从零开始的女性主义,上野千鹤子,2021-09-01,北京联合出版有限公司,37.4
109,信谊世界精选图画书-猜猜我有多爱你,山姆・麦克布雷尼,2020-09-01,明天出版社,25.8
110,皮特猫・3~6岁好性格养成书：第一辑（共6册）（乐观、积极、开朗...,艾瑞克・利温,2018-07-01,文汇出版社,69.9
111,斯凯瑞金色童书・益智经典（百年诞辰纪念版，全4册）（原斯凯瑞金...,理查德・斯凯瑞,2019-05-01,贵州人民出版社,49.0
112,刘擎西方现代思想讲义（奇葩说导师、得到App主理人刘擎讲透西方思...,刘擎,2021-01-17,新星出版社,62.4
115,半小时漫画论语（孔子原来这么爱吐槽！看孔子和弟子们卖萌吐槽，...,陈磊・半小时漫画团队,2021-09-30,文汇出版社,29.9
116,夏天、烟火和我的尸体（张震、田�D推荐。乙一16岁惊世成名作，高...,乙一,2019-09-01,南海出版公司,22.5
117,人间词话（王国维先生的代表作，近代较富盛名的词话著作）,王国维,2015-06-01,北京联合出版公司,14.0
118,100层的房子系列（全4册，《100层的房子》+《地下100层的房子》+...,岩井俊雄,2018-08-01,北京科学技术出版社,78.0
119,一个陌生女人的来信（茨威格中短篇小说选，豆瓣9.4高评分译作，德...,斯蒂芬・茨威格,2017-09-01,时代文艺出版社,10.3
120,小兵张嘎 百年百部经典书系 5-6年级阅读拓展书目，红色经典抗战题...,徐光耀,2020-04-01,长江少年儿童出版社,10.0
121,罗尔德・达尔作品典藏 了不起的狐狸爸爸,罗尔德・达尔,2017-05-01,明天出版社,7.5
122,橘子不是唯一的水果,珍妮特・温特森,2018-04-01,北京联合出版有限公司,24.5
123,人间值得（90岁心理医生恒子奶奶写给生活的哲思小书。十点读书、...,中村恒子,2019-09-01,北京日报出版社,24.9
124,不一样的卡梅拉手绘本（1-12册）,克利斯提昂,2013-06-01,２１世纪出版社,58.5
125,大语文那些事儿（全6册）大语文时代，得语文者得天下。字词、作文...,赵旭,2020-10-01,北京理工大学出版社,89.1
126,我们仨（新版）,杨绛,2018-06-01,生活.读书.新知三联书店,21.0
127,外婆的道歉信（外婆说，要大笑要做梦要与众不同。人生是一场伟大...,弗雷德里克・巴克曼,2017-05-01,天津人民出版社,29.0
128,理想国（2020全译本，西方哲学的源头，清华大学、北京大学图书馆...,柏拉图,2020-07-01,民主与建设出版社,38.6
129,一九八四（又译“1984”。奥威尔代表作，反乌托邦杰作之一）,乔治・奥威尔,2018-02-05,时代文艺出版社,15.0
130,愿你慢慢长大（与刘瑜、周国平、冯唐等名家一起开始一场温柔的教...,刘瑜,2018-01-01,北京联合出版有限公司,22.5
